customer_id,full_name,email,phone,city,registration_date
1,Chandani Chawla,customer1@example.com,6351060664,Surat,2024-08-12
2,Aishani D’Alia,customer2@example.com,9686004258,Pune,2025-07-09
3,Nachiket Magar,customer3@example.com,7865361525,Delhi,2023-09-20
4,Shivansh Oza,customer4@example.com,6926506992,Kolkata,2024-09-28
5,Aishani Tiwari,customer5@example.com,9651449275,Kolkata,2024-04-03
6,Zayan Behl,customer6@example.com,7474637669,Bengaluru,2023-10-29
7,Pallavi Malhotra,customer7@example.com,6441103597,Kolkata,2024-07-07
8,Aarush Nath,customer8@example.com,6719295072,Ahmedabad,2023-02-05
9,Adweta Edwin,customer9@example.com,6501839173,Ahmedabad,2023-03-14
10,Prisha Andra,customer10@example.com,9926394380,Kolkata,2024-02-29
11,Faqid Dixit,customer11@example.com,9316279556,Pune,2024-07-14
12,Kala Divan,customer12@example.com,7498624455,Ahmedabad,2024-03-03
13,Joshua Barman,customer13@example.com,6988451129,Indore,2023-03-08
14,Janya Baral,customer14@example.com,7651802027,Chennai,2023-12-08
15,Shivansh Krish,customer15@example.com,6943326934,Chennai,2025-02-08
16,Irya Ray,customer16@example.com,7367562795,Ahmedabad,2023-04-26
17,Warjas Gaba,customer17@example.com,6916064798,Surat,2024-03-28
18,Nitara Bakshi,customer18@example.com,7515222205,Chandigarh,2025-10-13
19,Gaurangi Sabharwal,customer19@example.com,9519066512,Chandigarh,2024-10-31
20,Amara Dutta,customer20@example.com,9669196061,Delhi,2025-09-06
21,Lavanya Barad,customer21@example.com,7860213351,Ahmedabad,2023-08-25
22,Tristan Iyengar,customer22@example.com,6495279992,Indore,2026-06-25
23,Inaya Mody,customer23@example.com,7482786513,Chennai,2023-10-13
24,Udant Bajwa,customer24@example.com,9648525216,Kolkata,2024-03-31
25,Mohini Narasimhan,customer25@example.com,9237559589,Chandigarh,2025-10-09
26,Ekaraj Mallick,customer26@example.com,9328184544,Lucknow,2025-01-07
27,Yashodhara Ratta,customer27@example.com,7662252136,Surat,2023-04-24
28,Ayaan D’Alia,customer28@example.com,8331078856,Pune,2023-12-07
29,Pranav Lanka,customer29@example.com,8731280819,Nashik,2024-03-24
30,Ikbal Saraf,customer30@example.com,8255804053,Chennai,2026-05-04
31,Dipta Sarin,customer31@example.com,9995545833,Hyderabad,2023-05-23
32,Lekha Gupta,customer32@example.com,6599789865,Bhopal,2023-01-12
33,Chaitanya Sarin,customer33@example.com,8848629149,Surat,2024-11-08
34,Zinal Yohannan,customer34@example.com,7340197765,Nagpur,2026-05-24
35,Januja Sankar,customer35@example.com,8334845107,Chandigarh,2025-12-26
36,Ganga Murthy,customer36@example.com,6198328226,Bhopal,2023-03-14
37,Charita Tripathi,customer37@example.com,8512745169,Pune,2024-07-31
38,Nilima Narain,customer38@example.com,6422824129,Nagpur,2026-05-14
39,Chakrika Datta,customer39@example.com,9556859742,Mumbai,2025-03-03
40,Osha Raghavan,customer40@example.com,9163607605,Lucknow,2025-04-12
41,Charvi Ravi,customer41@example.com,8738502824,Delhi,2023-08-26
42,Daksha Mangat,customer42@example.com,6622963425,Surat,2025-06-20
43,Qushi Nagy,customer43@example.com,9680534808,Pune,2025-07-05
44,Riya Sathe,customer44@example.com,6312727739,Bengaluru,2026-01-07
45,Yasti Solanki,customer45@example.com,8126379085,Surat,2025-11-01
46,Frado Mander,customer46@example.com,9175968554,Chennai,2025-09-15
47,Girik Keer,customer47@example.com,9593054614,Pune,2023-09-11
48,Umang Issac,customer48@example.com,8923699361,Hyderabad,2024-04-11
49,Aryan Batra,customer49@example.com,7118268849,Pune,2025-02-16
50,Vaishnavi Bora,customer50@example.com,6874542294,Bhopal,2026-06-30
51,Oeshi Hayer,customer51@example.com,8420532628,Jaipur,2023-03-24
52,Warda Ratta,customer52@example.com,8863500806,Lucknow,2026-03-25
53,Manbir Ahluwalia,customer53@example.com,9607028064,Chandigarh,2026-01-08
54,Pavani Kanda,customer54@example.com,8341607475,Hyderabad,2025-02-23
55,Zarna Shetty,customer55@example.com,9520975013,Bengaluru,2026-05-29
56,Zaid Dara,customer56@example.com,9764854206,Hyderabad,2026-06-08
57,Kiaan Shetty,customer57@example.com,8209541530,Delhi,2025-02-06
58,Saanvi Thaman,customer58@example.com,8688748796,Lucknow,2023-04-02
59,Sanaya Dutt,customer59@example.com,7813625985,Hyderabad,2024-08-20
60,Shivani Lad,customer60@example.com,8452823956,Chennai,2024-02-09
61,Aradhana Verma,customer61@example.com,6415681804,Kolkata,2024-10-11
62,William Maharaj,customer62@example.com,6954081204,Surat,2023-08-01
63,Faras Mangal,customer63@example.com,6283108255,Hyderabad,2023-12-04
64,Anita Nayak,customer64@example.com,8168080112,Kochi,2023-06-13
65,Faris Devi,customer65@example.com,8505260595,Nashik,2024-11-30
66,Vihaan Rajagopal,customer66@example.com,7420730675,Bengaluru,2023-07-02
67,Tanish Bhatt,customer67@example.com,8640686056,Ahmedabad,2024-09-15
68,Nikita Narayanan,customer68@example.com,6671853424,Nagpur,2024-07-07
69,Ojasvi Bhatia,customer69@example.com,9380920456,Kochi,2023-04-15
70,Osha Ramachandran,customer70@example.com,7905749307,Mumbai,2024-02-29
71,Lajita Sood,customer71@example.com,7874463729,Mumbai,2023-01-29
72,Indira Misra,customer72@example.com,8784419873,Nashik,2023-08-20
73,Oni Yohannan,customer73@example.com,6589341006,Ahmedabad,2025-02-14
74,Vinaya Kanda,customer74@example.com,8553950020,Surat,2025-08-13
75,Rajata Sunder,customer75@example.com,8874072420,Mumbai,2025-07-28
76,Lopa Nayar,customer76@example.com,9464178936,Surat,2025-10-28
77,Noah Sibal,customer77@example.com,6409599852,Nashik,2023-03-28
78,Avi Ramesh,customer78@example.com,9252775696,Delhi,2024-02-12
79,Fiyaz Sangha,customer79@example.com,7299868781,Ahmedabad,2023-05-28
80,Triya Gopal,customer80@example.com,9205886094,Nashik,2026-06-05
81,Abha Raghavan,customer81@example.com,8895408923,Kolkata,2026-05-19
82,Siddharth Sha,customer82@example.com,7522606084,Nashik,2024-07-16
83,Geetika Raghavan,customer83@example.com,9848599433,Ahmedabad,2025-02-11
84,Oviya Krishnan,customer84@example.com,9739524176,Chandigarh,2025-09-18
85,Upma Bahl,customer85@example.com,9635425944,Ahmedabad,2026-05-31
86,Inaya Kapur,customer86@example.com,8983420081,Pune,2023-11-25
87,Banjeet Balasubramanian,customer87@example.com,9593976957,Kochi,2025-08-20
88,Ryan Bahri,customer88@example.com,6718064040,Lucknow,2025-04-15
89,William Date,customer89@example.com,6637874083,Nagpur,2023-08-05
90,Ishwar Kamdar,customer90@example.com,7537578101,Ahmedabad,2024-10-13
91,Aahana Pillay,customer91@example.com,9600362527,Chandigarh,2025-02-19
92,Ishwar Gade,customer92@example.com,8287843081,Pune,2025-06-10
93,Hritik Bal,customer93@example.com,9523189905,Kochi,2025-02-21
94,Keya Ranganathan,customer94@example.com,6641135335,Jaipur,2023-07-02
95,Faqid Kibe,customer95@example.com,9688087981,Indore,2025-04-25
96,Charvi Dara,customer96@example.com,7383239967,Delhi,2023-04-23
97,Idika Walia,customer97@example.com,6136213515,Kolkata,2026-05-30
98,Kamala Biswas,customer98@example.com,7684419476,Bhopal,2026-06-10
99,Advik Salvi,customer99@example.com,7348305901,Ahmedabad,2025-10-18
100,Hitesh Sant,customer100@example.com,9862050762,Indore,2024-10-08
101,Tripti Dua,customer101@example.com,6904825621,Nashik,2023-09-13
102,Patrick Vig,customer102@example.com,7563614721,Surat,2025-05-09
103,Veda Shroff,customer103@example.com,9391135770,Bhopal,2024-06-24
104,Amrita Naidu,customer104@example.com,6801868309,Indore,2023-03-29
105,Gabriel Mallick,customer105@example.com,9580780802,Mumbai,2024-02-25
106,Yagnesh Shetty,customer106@example.com,9685366894,Kolkata,2024-12-03
107,Gayathri Balakrishnan,customer107@example.com,8790837639,Hyderabad,2026-02-25
108,Ekta Gopal,customer108@example.com,9664576770,Chandigarh,2023-12-28
109,Simon Pant,customer109@example.com,9933025506,Bengaluru,2024-03-24
110,Harini Mammen,customer110@example.com,7976326378,Nagpur,2026-06-01
111,Advaith Varughese,customer111@example.com,6379681325,Nagpur,2024-04-17
112,Frederick Khurana,customer112@example.com,6637987183,Pune,2023-08-19
113,Vrinda Khosla,customer113@example.com,9203762851,Jaipur,2025-11-02
114,Vritti Sem,customer114@example.com,7486392377,Nagpur,2024-08-20
115,Girik Menon,customer115@example.com,6147380429,Indore,2024-07-19
116,Nidhi Kohli,customer116@example.com,6606551672,Pune,2025-11-03
117,Jyoti Solanki,customer117@example.com,9739469298,Nashik,2025-11-09
118,Pavani Narayanan,customer118@example.com,9108805586,Chennai,2025-10-11
119,Sudiksha Madan,customer119@example.com,8953026172,Bengaluru,2026-01-29
120,Zayan Kashyap,customer120@example.com,9499622370,Nagpur,2026-03-01
121,Reyansh Mutti,customer121@example.com,7798455508,Hyderabad,2026-03-23
122,Qasim Handa,customer122@example.com,8113822356,Ahmedabad,2025-04-01
123,Veda Malhotra,customer123@example.com,7553089027,Chennai,2023-07-21
124,Harish Hari,customer124@example.com,9754240016,Surat,2023-07-07
125,Utkarsh Patel,customer125@example.com,9143420892,Kolkata,2026-02-16
126,Chasmum Atwal,customer126@example.com,9547266532,Delhi,2024-06-09
127,Anusha Bath,customer127@example.com,9544476157,Bengaluru,2023-12-02
128,Brinda Date,customer128@example.com,7336175953,Pune,2024-06-19
129,Harshil Arora,customer129@example.com,8430962797,Kochi,2023-06-08
130,Upasna Srinivas,customer130@example.com,9249881373,Surat,2023-07-30
131,Harini Gour,customer131@example.com,9187173138,Bengaluru,2025-09-24
